st_gene_id	diffexp_log2fc_WT_48H-vs-MYC2_48H	diffexp_deseq2_pvalue_WT_48H-vs-MYC2_48H
TraesCS5B02G104500	0.116156738	0.214245804
TraesCS4A02G036200	-0.106165799	0.665738231
TraesCS6D02G307100	-0.019486128	0.941000121
TraesCS3D02G278700	0.170277866	0.299663564
TraesCS2A02G550900	-0.18617935	0.030776782
TraesCS7B02G009400	0.329211487	0.554016706
TraesCS2A02G523200	-0.027138554	0.905629333
TraesCS6A02G122000	0.076874933	0.743421541
TraesCS7B02G434400	-0.022722665	0.917653176
TraesCS6B02G277000	-0.277839724	0.107655755
TraesCS1D02G176000	-0.138783544	0.375649607
TraesCS4B02G004800	-0.101055886	0.815075086
TraesCS2B02G362900	0.070237874	0.659453526
TraesCS5B02G552800	-1.017829122	0.803021211
TraesCS7D02G085000	NA	NA
TraesCS4D02G006600	-0.02310513	0.960049065
TraesCS4D02G073200	-0.362330682	0.000485088
TraesCS6B02G252200	-0.063051356	0.781929579
TraesCS6B02G332300	0.056237157	0.47142337
TraesCS5D02G377800	3.027374886	0.031616515
TraesCS5D02G252500	NA	NA
TraesCS5B02G403900	-0.072617345	0.752457165
TraesCS3A02G267700	-0.053711335	0.662943521
TraesCS1B02G122100	0.06114424	0.818648048
TraesCS4B02G161100	0.568720184	0.356058112
TraesCS4A02G092600	-1.017829122	0.803021211
TraesCS2D02G373700	-1.637677569	0.367027457
TraesCS2A02G127400	NA	NA
TraesCS2D02G334700	1.07490669	0.3849579
TraesCS1B02G185200	0.90572423	0.824340734
TraesCS5A02G466500	0.90572423	0.824340734
TraesCS1B02G327000	-0.05604432	0.986220765
TraesCS4D02G154500	-0.386486743	0.001216751
TraesCS2A02G104400	-0.202261839	0.484572853
TraesCS3B02G067800	-0.299498204	0.429291676
TraesCS5D02G221100	-0.056877942	0.967687761
TraesCS1B02G269500	-0.331824883	0.016346328
TraesCS2B02G208400	-0.139813799	0.364405005
TraesCS5D02G443600	-0.437710649	0.083187603
TraesCS7D02G346000	-0.198566939	0.071253958
TraesCS3D02G281600	-0.087196727	0.859867437
TraesCS4D02G291900	-0.006625446	0.94610025
TraesCS3B02G441900	NA	NA
TraesCS7B02G251400	-0.013096667	0.882604172
TraesCS4D02G333100	0.66616281	0.335418139
TraesCS6B02G004400	-0.091109296	0.138023237
TraesCS3A02G285000	-0.590292656	0.554015259
TraesCS5B02G559300	-0.020534785	0.841009269
TraesCS5D02G006900	-0.328575657	0.326967856
TraesCS6A02G410800	0.5915856	0.565692026
TraesCS3B02G389300	0.008246185	0.970993488
TraesCS4A02G059200	-0.1044547	0.776798322
TraesCS3D02G032500	-1.072175997	0.584114647
TraesCS6B02G202600	-0.339900942	0.543813906
TraesCS6A02G034500	0.045327744	0.96357535
TraesCS5B02G310300	-1.017829122	0.803021211
TraesCS5B02G539600	-1.525913146	0.546738374
TraesCS1D02G363400	0.449696921	0.40095959
TraesCS4A02G486300	-0.670935757	0.191472548
TraesCS4A02G473800	-0.110327655	0.765006083
TraesCS6A02G378600	-0.449960496	0.545430609
TraesCS7D02G551600	-0.255255358	0.00784613
TraesCS1D02G091400	-0.337398247	0.474718706
TraesCS2D02G172100	-0.00969737	0.906358463
TraesCS5A02G280900	-0.30495357	0.146967622
TraesCS7D02G229800	0.047339663	0.674919045
TraesCS7A02G387400	0.06227528	0.75214389
TraesCS2A02G460500	NA	NA
TraesCS3B02G213000	0.276705433	0.304546382
TraesCS5D02G155700	0.250139983	0.197166263
TraesCS7A02G539500	-1.52329703	0.521723125
TraesCS6B02G313600	NA	NA
TraesCS5A02G054000	0.060473744	0.809586107
TraesCS5D02G505500	-2.51384645	0.352037053
TraesCS5A02G463100	0.126657293	0.247459629
TraesCS7B02G175100	0.253206094	0.463641566
TraesCS7A02G171600	1.084993574	0.374442312
TraesCS6A02G202100	1.060352604	0.016132427
TraesCS3B02G389200	-0.104080036	0.462431408
TraesCS6B02G320200	-0.199309644	0.602939132
TraesCS6B02G345700	-0.030157441	0.783845227
TraesCS2D02G444200	0.544209253	0.394680536
TraesCS7D02G518500	-0.524118516	0.271090449
TraesCS2B02G459700	-0.056044331	0.986231787
TraesCS1D02G260600	0.573986506	0.20000003
TraesCS5A02G454600	-0.114025817	0.162954533
TraesCS7D02G218000	0.360835353	0.051460596
TraesCS4A02G483400	-3.537031459	0.026250298
TraesCS2B02G579100	0.01287995	0.883515296
TraesCS1D02G135900	-0.016282821	0.947385058
TraesCS1A02G259800	-1.381460563	0.455700883
TraesCS7B02G481400	0.069981306	0.792908355
TraesCS4A02G082200	0.645311813	0.36267364
TraesCS1B02G315900	0.577394251	0.081276778
TraesCS7B02G028700	0.48363008	0.204381747
TraesCS4D02G323000	0.022564956	0.854593424
TraesCS4B02G127200	1.807274337	0.573117674
TraesCS5B02G413300	-0.067567359	0.678800555
TraesCS5A02G538700	0.290350656	0.123462904
TraesCS7A02G253400	-0.635868591	0.760146505
TraesCS7D02G257300	-0.070280633	0.43927526
TraesCS1D02G165400	-0.086684011	0.175496072
TraesCS2B02G153200	NA	NA
TraesCS7D02G218100	0.575363017	0.007069726
TraesCS5D02G325500	0.90572423	0.824340734
TraesCS4B02G299400	-0.382679659	0.137611042
TraesCS6D02G198400	0.90572423	0.824340734
TraesCS2D02G231500	0.098069727	0.397580781
TraesCS7A02G082900	0.90572423	0.824340734
TraesCS4D02G202900	0.146073143	0.729558656
TraesCS7B02G444000	NA	NA
TraesCS2B02G169400	0.58354135	0.546299368
TraesCS3D02G125700	0.364575502	0.728311255
TraesCS3D02G108300	-0.072406366	0.690551537
TraesCS3D02G325400	0.44026392	0.758029405
TraesCS2D02G276000	-1.301813748	0.157067633
TraesCS4D02G266700	-0.156498881	0.01592465
TraesCS5A02G248000	0.04294313	0.959314024
TraesCS3B02G574600	2.574954193	0.001488913
TraesCS2B02G236700	0.029665841	0.828534504
TraesCS5B02G384500	0.55603691	0.018251954
TraesCS2D02G288600	-0.195007937	0.01152832
TraesCS3D02G418600	-1.225477249	0.337545932
TraesCS2A02G046700	0.328169869	0.002160017
TraesCS3B02G005800	-0.052474556	0.773480268
TraesCS6D02G275700	-0.238707529	0.043603317
TraesCS3B02G383400	0.582627829	0.539534392
TraesCS4A02G297900	-0.181035019	0.371953664
TraesCS2D02G234000	0.94035171	0.616563597
TraesCS2B02G558000	0.093210957	0.82143808
TraesCS3B02G374500	-0.060190218	0.351115168
TraesCS5B02G465700	-2.284317685	0.250395659
TraesCS7D02G079600	-0.045519147	0.984873519
TraesCS6A02G110300	0.84666837	0.763565423
TraesCS3D02G476100	NA	NA
TraesCS2A02G269700	-0.265442007	0.096642112
TraesCS1A02G315500	-0.116588665	0.307475663
TraesCS4B02G002400	-0.171687235	0.202508336
TraesCS2A02G159000	0.055308931	0.916973195
TraesCS3D02G340800	-0.056044264	0.986166077
TraesCS5D02G237900	0.408625816	0.404149429
TraesCS6D02G234100	-0.142545731	0.284782985
TraesCS5D02G166400	0.014420813	0.930423072
TraesCS3D02G414500	-0.626047671	0.235687866
TraesCS4B02G206900	-0.067483556	0.661145098
TraesCS2D02G355400	-0.073989131	0.830469629
TraesCS6A02G151700	0.499838306	4.13E-07
TraesCS4D02G345200	-2.543129021	0.177939818
TraesCS7B02G067100	-1.638110196	0.376030597
TraesCS1D02G124600	-0.03454743	0.640935606
TraesCS5A02G122600	-0.238939153	0.011831074
TraesCS3B02G355600	-0.444463881	0.138441191
TraesCS1D02G241900	-0.533757313	0.704890577
TraesCS6A02G077200	0.328150849	0.698053132
TraesCS7B02G193700	0.15730544	0.361351396
TraesCS1D02G424900	-0.006075901	0.947141939
TraesCS6B02G149600	-0.134617905	0.342373453
TraesCS5B02G237100	0.021624143	0.914139256
TraesCS3B02G183500	0.100269753	0.923928178
TraesCS6B02G201100	-0.01080555	0.98517704
TraesCS4B02G360500	-0.065078921	0.566607789
TraesCS7B02G292300	1.420025929	0.263852913
TraesCS6B02G230900	0.029366866	0.727434851
TraesCS6D02G237500	0.087690877	0.32741057
TraesCS6D02G161100	0.816928584	0.015480126
TraesCS3A02G378700	0.070289895	0.940944101
TraesCS4D02G256400	0.405254641	0.505176018
TraesCS6B02G259300	-0.37786183	0.8065636
TraesCS2D02G179800	-0.134705218	0.223879617
TraesCS1D02G221100	-0.096826699	0.371895915
TraesCS2B02G457200	0.178318877	0.613589129
TraesCS2D02G355200	-0.042555854	0.616835897
TraesCS1A02G254600	0.044243152	0.912683473
TraesCS6A02G246500	0.90572423	0.824340734
TraesCS5D02G404700	-0.555690345	0.516057271
TraesCS1D02G330800	-0.063872714	0.97763342
TraesCS2D02G320700	NA	NA
TraesCS1D02G259000	0.005248997	0.954665868
TraesCS7B02G391300	-0.088696208	0.343089547
TraesCS1B02G335900	0.622034717	0.489862199
TraesCS1D02G247700	0.519625341	0.041963627
TraesCS5D02G367400	0.90572423	0.824340734
TraesCS5A02G215200	0.682699689	0.059232377
TraesCS3B02G224600	0.119305553	0.856297937
TraesCS7B02G150400	-0.123638468	0.143950718
TraesCS2A02G259900	0.29100047	0.502262961
TraesCS3A02G433000	-0.18258197	0.033640433
TraesCS6B02G033300	0.759300679	1.01E-08
TraesCS1B02G154600	0.021381051	0.85323575
TraesCS7B02G438000	-0.324196691	0.33690581
TraesCS2B02G506600	0.159679748	0.249054075
TraesCS2A02G268400	-0.276595767	0.18151651
TraesCS4D02G151300	-0.957066491	0.716669863
